"Date","Windows","Android","iOS","Linux","OS X","Unknown","Samsung","Playstation","Chrome OS","Nokia Unknown","Other"
2019-08,53.48,30.53,6.69,3.79,1.99,2.68,0.62,0.11,0.05,0.03,0.03
2019-09,54.87,30.11,5.97,3.73,2.52,2.07,0.57,0.09,0.02,0.02,0.03
2019-10,53.96,31.24,5.66,3.75,2.7,1.94,0.59,0.1,0.02,0.02,0.02
2019-11,55.07,30.45,5.48,3.57,2.87,1.81,0.6,0.09,0.02,0.02,0.02
2019-12,54.76,30.55,5.31,4.02,2.85,1.8,0.56,0.09,0.02,0.03,0.02
2020-01,50.28,37.01,5.62,2.57,2.36,1.76,0.3,0.05,0.02,0.02,0.01
2020-02,54.33,30.64,5.45,4.38,3.1,1.46,0.53,0.07,0.02,0.01,0.01
2020-03,50.69,34.69,6.2,2.8,3.76,1.39,0.32,0.09,0.03,0,0.02
2020-04,49.2,36.83,6.78,0.93,4.46,1.46,0.15,0.11,0.04,0.02,0.03
2020-05,54.4,30.23,5.58,3.86,3.86,1.41,0.54,0.07,0.03,0.01,0.01
2020-06,54.75,29.64,5.32,4.78,3.21,1.41,0.79,0.05,0.03,0.01,0.01
2020-07,53.99,30.3,5.7,4.72,3.16,1.65,0.4,0.05,0.03,0.01,0.01
2020-08,53.73,31.27,5.84,4.09,2.65,1.92,0.37,0.05,0.03,0.03,0.02
